PRODUCT_ID,DEPARTMENT_NAME,HEIGHT_INCHES,WIDTH_INCHES,DEPTH_INCHES,WEIGHT_GRAMS
78416,Pantry,5.41,4.34,0.54,4.54E+01
78418,Pantry,4.61,3.4,,6.89E+02
78419,International,7.5,7.75,1.75,3.54E+02
78426,International,5.2,4.37,0.3,4.08E+01
78431,Canned Goods,2.01,2.66,2.59,1.68E+02
78435,International,6.95,9.4,3.6,7.26E+02
78440,International,5.25,4.25,0.45,2.83E+01
78441,International,5.25,4.25,0.45,2.83E+01
78442,Pantry,5.25,4.25,0.45,2.83E+01
78443,International,5.25,4.25,0.45,2.83E+01
78446,International,5.52,9.31,2.08,1.95E+02
78447,International,2.75,6.72,4.55,1.90E+02
78448,International,5.5,7.35,1.9,1.30E+02
78453,International,5.5,7.3,2.13,1.27E+02
78459,International,4.43,2.96,2.96,4.54E+02
78464,International,4.31,3.39,3.39,5.39E+02
78465,International,4,2.67,2.67,2.83E+02
78472,Pantry,5.1,3.18,,7.26E+02
78476,Pantry,5.13,3.16,,7.30E+02
78481,Pantry,6.05,2.9,2.95,7.42E+02
78482,Pantry,6.05,2.9,2.95,7.42E+02
78485,International,2.97,2.61,2.61,2.43E+02
78486,Dry Goods & Pasta,,,,1.49E+02
78497,International,8.6,2.45,2.45,3.40E+02
78504,International,1.99,2.67,2.67,1.13E+02
78521,Pantry,5.34,2.66,,5.94E+02
78527,International,4.4,2.95,,5.08E+02
78528,Canned Goods,,,,5.10E+02
78533,Pantry,7.11,2.58,,5.62E+02
78550,Beverages,4.87,2.6,,3.63E+02
78572,Snacks,10.36,3.42,0.46,1.45E+02
78574,Snacks,10.32,3.46,0.46,1.42E+02
78578,Snacks,8.95,3.4,0.4,1.28E+02
78579,Snacks,10.45,3.41,0.45,1.39E+02
78580,Snacks,10.32,3.46,0.46,1.45E+02
78582,Snacks,10.27,3.44,0.48,1.42E+02
78583,Snacks,5.57,4.44,,2.45E+02
78586,Dairy & Eggs,9.65,3.5,3.5,1.13E+03
78591,Snacks,10.27,3.44,0.48,1.42E+02
78595,Snacks,8.63,4.16,0.44,1.02E+02
78596,Snacks,8.63,4.16,0.44,1.02E+02
78602,Snacks,8.75,4.02,0.45,9.92E+01
78614,Snacks,8.19,5.25,,9.53E+01
78618,Snacks,8.16,5.85,1.24,1.84E+02
78622,Snacks,2.52,6.26,0.75,9.95E+01
78624,Snacks,4.02,7.64,0.83,3.30E+02
78626,Snacks,7.03,12.64,1.69,9.07E+02
78631,Snacks,6.06,9.78,,3.65E+02
78639,Snacks,5.88,10.12,,3.65E+02
78640,Snacks,,,,4.81E+02
78641,Snacks,8.19,5.25,,9.53E+01
78643,Snacks,6.28,6.59,,1.59E+02
78652,Snacks,8.25,5.2,1.25,2.04E+02
78653,Snacks,7.99,5.31,1.14,2.04E+02
78665,Snacks,7.57,5.06,,2.36E+02
78672,Snacks,3.75,6.15,0.7,1.18E+02
78682,Snacks,3.75,7.7,0.8,4.08E+03
78689,Snacks,2.77,5.6,0.44,1.92E+03
78706,Snacks,2.92,8.96,0.42,1.02E+02
78708,Snacks,5.28,5.47,0.91,2.47E+02
78709,Snacks,5.78,6.84,0.56,2.47E+02
78733,Snacks,10,6.89,4.02,1.19E+03
78734,Snacks,11.3,9.1,3.1,8.75E+02
78767,Snacks,6.13,2.82,0.33,1.59E+03
78772,Snacks,6.93,5.65,1.54,3.18E+03
78787,Snacks,7.11,3.97,,1.63E+02
78795,Snacks,7.11,3.97,,1.70E+02
78797,Snacks,7.11,3.97,,1.75E+02
78798,Snacks,7.58,3.49,,1.13E+02
78799,Snacks,7.55,3.49,,1.36E+02
78802,Snacks,7.55,3.49,,1.36E+02
78804,Snacks,7.58,3.49,,1.13E+02
78814,Snacks,7.55,3.49,,1.36E+02
78971,Pantry,5.5,2.47,2.5,3.12E+02
79038,Pantry,5.15,1.59,,1.86E+02
79112,Household,,,,1.89E+03
79127,Canned Goods,3.88,3.86,,7.26E+01
79134,International,6.03,5.82,,3.08E+02
79157,Canned Goods,3.08,2.87,,4.08E+02
79177,Canned Goods,5.08,3.65,3.7,1.97E+02
79181,Canned Goods,5.6,3.91,,1.05E+03
79186,Canned Goods,7.38,4.5,2.94,1.39E+03
79229,Canned Goods,4.45,3.45,,5.24E+02
79231,Canned Goods,4.45,3.45,3.45,5.39E+02
79232,Canned Goods,4.45,3.45,3.45,5.10E+02
79253,Pets,1.45,2.6,2.6,8.50E+01
79254,Pets,1.45,2.6,2.6,8.50E+01
79255,Pets,1.45,2.6,2.6,8.50E+01
79365,Pets,6.28,4.95,,3.13E+02
79392,Pets,13.25,9.5,5.25,3.63E+03
79489,Snacks,6.38,4,,2.49E+02
79491,Snacks,7.25,3.06,,2.11E+02
79494,Snacks,7.25,3.06,,2.11E+02
79495,Snacks,7.25,3.06,,1.76E+02
79497,Snacks,7.38,2.63,,2.44E+02
79501,Snacks,7.38,2.63,,2.04E+02
79516,Breakfast,,,,3.27E+02
79517,Breakfast,9.88,6.63,,3.22E+02
79523,Breakfast,8.87,6.25,1.75,3.69E+02
79543,Breakfast,10.31,6.3,2.11,3.26E+02
79568,Breakfast,10.85,7.77,2,4.42E+02
79571,Breakfast,9.88,7.75,2.06,4.17E+02
79589,Pantry,4.72,2.22,2.15,4.48E+01
79591,Pantry,5.16,1.62,,1.97E+02
79597,Pantry,,,,5.67E+01
79721,Pantry,2.87,2.89,,6.24E+02
79726,Pantry,4.02,2.63,,4.72E+02
79729,Pantry,4.02,2.63,,4.72E+02
79749,Dairy & Eggs,,,,4.25E+02
79765,Dairy & Eggs,,,,2.36E+02
79832,Snacks,1.59,4.26,,4.08E+01
79852,Snacks,7.55,3.5,,1.13E+02
79941,Pantry,,,,7.30E+02
79985,Pantry,,,,6.37E+02
80027,International,,,,2.83E+01
80123,Pantry,,,,4.85E+02
80159,Pantry,,,,5.22E+02
80173,Pantry,,,,6.83E+02
80176,Pantry,3.22,2.98,,2.79E+02
80229,Pantry,7.26,3.9,,7.12E+02
80256,Dairy & Eggs,2.26,3.74,,1.63E+02
80266,Dairy & Eggs,4.97,4.96,5,4.76E+02
80314,Dairy & Eggs,4.47,4.6,,7.03E+02
80347,Frozen,5.92,7.62,,3.33E+02
80350,Snacks,10.25,5.56,,9.51E+02
80373,Frozen,,,,3.49E+02
80443,Frozen,6.58,8,,4.63E+02
80457,Frozen,5.92,7.38,1.25,4.05E+02
80460,Frozen,5.11,6.82,1.2,3.49E+02
80470,Frozen,5.07,7.93,,4.20E+02
80471,International,5.06,7.92,,4.38E+02
80472,Frozen,5.92,7.38,1.25,3.44E+02
80474,Frozen,5.9,7.35,1.25,3.07E+02
80477,Frozen,5.9,7.35,1.25,3.15E+02
80479,Frozen,5.92,7.38,1.5,3.31E+02
80480,Frozen,5.93,7.38,1.25,3.63E+02
80482,Frozen,5.13,7.98,,3.63E+02
80483,International,5.15,8,,3.65E+02
80531,Snacks,7.52,5.58,,2.13E+02
80562,Dairy & Eggs,5.05,6.4,3.75,4.46E+03
80563,Dairy & Eggs,5.05,6.21,3.75,1.61E+03
80606,Dairy & Eggs,8.35,3.7,2.5,1.02E+03
80674,Deli,,,,2.34E+02
80676,Deli,,,,2.13E+02
80677,Pantry,,,,3.08E+02
80684,Dairy & Eggs,10.33,4.47,,1.52E+03
80765,Pantry,5,2.37,2.37,2.40E+02
80775,Pantry,6.27,2.83,,7.67E+02
80851,Dry Goods & Pasta,6.71,5.22,,3.79E+02
80870,Dry Goods & Pasta,,,,4.54E+02
80873,Dry Goods & Pasta,2.81,10.7,,4.01E+02
80970,Dry Goods & Pasta,7.13,3.44,1.31,1.70E+02
81003,Frozen,4.11,3.89,,5.44E+02
81005,Frozen,4.11,3.89,,5.44E+02
81069,Babies,6.39,3.02,,1.27E+02
81073,Babies,6.35,3.2,1.7,1.18E+02
81094,Frozen,5.8,6.25,6.25,6.35E+01
81096,Frozen,4,3.9,3.9,2.27E+01
81099,Frozen,4,3.9,3.9,3.74E+02
81106,Frozen,4,3.9,3.85,3.18E+01
81113,Frozen,4,3.9,3.9,1.81E+01
81116,Frozen,4,3.9,3.9,2.27E+01
81138,Frozen,5.4,4.7,4.7,3.18E+01
81142,Frozen,5.4,4.7,4.7,3.18E+01
81174,Frozen,4.73,6.88,4.13,8.64E+02
81184,Frozen,4.76,6.88,4.13,8.46E+02
81216,Frozen,5.55,5,5,8.19E+02
81224,Frozen,5.63,5.02,5,7.85E+02
81236,Frozen,5.55,5,5,8.10E+02
81252,Beverages,,,,7.03E+01
81289,Beverages,4.37,3.12,,6.35E+01
81293,Frozen,4,3.9,3.9,2.27E+01
81315,Beverages,4.35,3.14,,6.80E+01
81321,Frozen,5.4,8.8,1.16,2.27E+00
81385,Dry Goods & Pasta,6.38,3.75,1.06,1.79E+02
81511,International,,,,7.51E+02
81518,Beverages,,,,1.46E+03
81539,Beverages,8.12,3.81,,1.44E+03
81556,Beverages,8.13,3.19,,1.43E+03
81581,Household,,,,
81589,Household,7.16,4.69,,1.36E+02
81590,Household,,,,4.13E+02
81591,Household,5.52,4.68,,1.41E+02
81677,Canned Goods,2.05,2.7,2.67,1.59E+02
81684,Pantry,,,,1.13E+02
81703,Pantry,,,,3.26E+02
81720,Pantry,3.8,2.67,2.67,3.60E+02
81721,Pantry,3.82,2.68,2.68,3.68E+02
81739,Pantry,5.68,3.66,3.66,6.80E+02
81802,Household,10.42,6,3.45,1.99E+03
81834,Household,8.38,2.47,,5.26E+02
81835,Household,8.38,2.47,,5.26E+02
81850,Household,,,,1.36E+02
81873,Household,,,,1.92E+03
81875,Household,9.9,4.75,4.75,1.81E+03
81888,Household,10.57,4.75,,7.39E+02
81922,Household,7.75,4.95,4.92,1.04E+02
81954,Household,6.93,2.09,,2.49E+02
81966,Household,5.38,7.02,7,4.45E+02
81989,Household,,,,
82097,Snacks,6.28,3.04,,1.13E+02
82117,Snacks,1.22,8.23,1.38,1.09E+02
82121,Dry Goods & Pasta,8.38,4.33,,8.66E+02
82149,Dry Goods & Pasta,4.46,8.55,,5.94E+02
82177,Canned Goods,5.25,2.27,,4.38E+02
82178,Canned Goods,5.25,2.27,,4.33E+02
82186,Canned Goods,,,,3.40E+02
82188,Canned Goods,6.41,2.76,2.75,3.40E+02
82204,Pantry,6.31,2.81,,7.35E+02
82206,Canned Goods,6.2,2.8,,7.48E+02
